Date,Tmin,Tmax,Tav,RH,U,Eto
5/1/2022,10.6,24.2,17.1,61,1.9,5.63
5/2/2022,13.1,24.3,17,68,2.1,4.84
5/3/2022,13.1,23.2,17,69,1.8,5.23
5/4/2022,10.7,30.1,20.3,50,2,6.58
5/5/2022,12.9,29.2,20.4,47,1.9,6.55
5/6/2022,13,28.6,20.8,40,1.8,6.52
5/7/2022,13.2,25.5,18.5,63,2.1,5.88
5/8/2022,12.4,20.9,15.9,69,2.2,3.42
5/9/2022,10.2,20.2,14.7,57,2.1,4.81
5/10/2022,8.4,21.1,14.3,45,2.2,5.67
5/11/2022,6.8,20.3,13.3,44,2.1,5.4
5/12/2022,7.6,27.5,18.3,23,2,6.54
5/13/2022,12.8,33.4,23,22,1.9,7.25
5/14/2022,14.7,34.9,25,23,1.7,7.53
5/15/2022,14.7,30.6,22.9,31,1.8,5.41
5/16/2022,12.8,26.8,19.3,60,1.8,5.71
5/17/2022,13.1,24.6,17.6,70,1.8,4.91
5/18/2022,13.2,27.8,19,67,1.8,5.47
5/19/2022,13.5,25,17.3,77,2.2,4.82
5/20/2022,13,18.7,15.5,84,1.8,1.19
5/21/2022,14,22.4,16.9,70,2.4,4.56
5/22/2022,13.8,25.6,18.2,63,2.1,5.73
5/23/2022,11.2,25.2,17.3,69,1.8,5.34
5/24/2022,13.4,30,20.3,62,1.9,6.29
5/25/2022,13.2,29.4,20.9,61,1.9,6.53
5/26/2022,13.8,29.4,19.6,65,2,6.19
5/27/2022,12.5,26.4,17.5,69,1.8,4.38
5/28/2022,12.7,20,15.6,78,1.9,1.91
5/29/2022,14,22.6,17.5,67,2.2,5.23
5/30/2022,11.6,25.2,17.2,67,1.8,4.45
5/31/2022,11.7,27,19.1,58,1.9,6.22
6/1/2022,13.4,33.2,22.1,49,1.9,6.81
